     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
       191    4.1918943024E-11    9.9892871752E-10    1.5657736486E-07   -4.7388832972E-01
       192    4.1199519635E-11    9.8379704383E-10    1.5413933349E-07   -4.7388832966E-01
       193    4.0499195981E-11    9.6888808088E-10    1.5173932521E-07   -4.7388832960E-01
       194    3.9812068509E-11    9.5419788737E-10    1.4937674694E-07   -4.7388832954E-01
       195    3.9129918544E-11    9.3972402082E-10    1.4705101504E-07   -4.7388832948E-01
       196    3.8481453567E-11    9.2546353914E-10    1.4476155440E-07   -4.7388832942E-01
       197    3.7822454797E-11    9.1141277858E-10    1.4250779978E-07   -4.7388832936E-01
       198    3.7184060591E-11    8.9756985178E-10    1.4028919374E-07   -4.7388832930E-01
       199    3.6557820762E-11    8.8393131703E-10    1.3810518836E-07   -4.7388832925E-01
       200    3.5942577750E-11    8.7049417674E-10    1.3595524384E-07   -4.7388832919E-01
       201    3.5327566251E-11    8.5725593291E-10    1.3383882895E-07   -4.7388832914E-01
       202    3.4741262234E-11    8.4421364344E-10    1.3175542054E-07   -4.7388832908E-01
       203    3.4155652752E-11    8.3136536544E-10    1.2970450404E-07   -4.7388832903E-01
       204    3.3573284438E-11    8.1870665802E-10    1.2768557236E-07   -4.7388832898E-01
       205    3.3025179893E-11    8.0623674403E-10    1.2569812686E-07   -4.7388832893E-01
       206    3.2468625161E-11    7.9395123809E-10    1.2374167623E-07   -4.7388832888E-01
       207    3.1911838917E-11    7.8184897445E-10    1.2181573863E-07   -4.7388832883E-01
       208    3.1391284294E-11    7.6992712206E-10    1.1991983658E-07   -4.7388832878E-01
       209    3.0865752164E-11    7.5818207268E-10    1.1805350155E-07   -4.7388832873E-01
       210    3.0346239345E-11    7.4661293814E-10    1.1621627233E-07   -4.7388832868E-01
       211    2.9844089922E-11    7.3521599919E-10    1.1440769505E-07   -4.7388832864E-01
       212    2.9341361719E-11    7.2398925743E-10    1.1262732259E-07   -4.7388832859E-01
