 istep =  100001
     ik     ic     iv              Real              Imag               Abs
    377      1      1  -1.193470412E-02  -2.005887336E-04   1.193638966E-02
    378      1      1  -1.077848922E-02  -1.409010120E-04   1.077941014E-02
    379      1      1  -9.790538459E-03  -1.484419582E-04   9.791663716E-03
    380      1      1  -8.934697347E-03  -8.409037285E-05   8.935093053E-03
    381      1      1  -8.317752309E-03  -8.307421489E-05   8.318167154E-03
    382      1      1  -7.782438895E-03  -4.278258491E-05   7.782556489E-03
    383      1      1  -7.305006960E-03  -5.138989739E-05   7.305187719E-03
    384      1      1  -6.874599662E-03   1.474068079E-05   6.874615465E-03
    385      1      1  -6.474533132E-03   2.131751005E-05   6.474568226E-03
    386      1      1  -6.088364586E-03   3.208292374E-05   6.088449116E-03
    387      1      1  -5.703275133E-03   2.135028887E-05   5.703315095E-03
    388      1      1  -5.311886298E-03   5.735647192E-05   5.312195949E-03
    389      1      1  -5.474918311E-03  -6.327897293E-04   5.511365834E-03
